NH - Permitting Responsibility,Project Name,Project ID,Project State,Process Step Name,Process Step ID,NH - Permit Pack Type,Permit Application Submitted Date,Permit Application Submitted By,NH - Permit Pickup Verified Date,NH - Permit Pickup Verified By,Permit Rejection Recorded Date,Permit Rejection Recorded By,Permit Rejection Details,AHJ,Utility Company,Tick Counter,Process Step Created,Process Step Completed,Process Step Status
,Aspire @ Cypress Crossing - Tract 7213-2 - Lot 17,1463442,CA,NHO - F - Permitting,16046148,,4/24/2026 17:58,Melvin Garcia,4/24/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,4/24/2026 16:26,4/24/2026 18:02,Permit Pickup Complete
,Aspire @ Cypress Crossing - Tract 7213-2 - Lot 18,1463443,CA,NHO - F - Permitting,16046146,,4/24/2026 17:57,Melvin Garcia,4/24/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,4/24/2026 16:25,4/24/2026 18:02,Permit Pickup Complete
,Aspire @ Cypress Crossing - Tract 7213-2 - Lot 20,1463445,CA,NHO - F - Permitting,16046147,,4/24/2026 17:58,Melvin Garcia,4/24/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,4/24/2026 16:26,4/24/2026 18:02,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 2 - Unit 11,1458010,CA,NHO - F - Permitting,16040322,,4/15/2026 3:08,Melvin Garcia,4/23/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/7/2026 21:25,4/24/2026 17:53,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 2 - Unit 12,1458011,CA,NHO - F - Permitting,16040324,,4/15/2026 3:13,Melvin Garcia,4/23/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/7/2026 21:25,4/24/2026 17:53,Permit Pickup Complete
,Vineyard West - Lot 72,1165485,CA,NHO - F - Permitting,16033002,,3/18/2026 21:13,Jared Nast,4/21/2026,Jared Nast,,,,Madera City,Pacific Gas & Electric Co. (PG&E),,3/18/2026 20:43,4/21/2026 21:47,Permit Pickup Complete
,Vineyard West - Lot 66,1165487,CA,NHO - F - Permitting,16033247,,3/19/2026 15:12,Jared Nast,4/21/2026,Jared Nast,,,,Madera City,Pacific Gas & Electric Co. (PG&E),,3/19/2026 14:18,4/21/2026 21:46,Permit Pickup Complete
,Vineyard West - Lot 53,1165490,CA,NHO - F - Permitting,16033006,,3/18/2026 21:12,Jared Nast,4/21/2026,Jared Nast,,,,Madera City,Pacific Gas & Electric Co. (PG&E),,3/18/2026 20:43,4/21/2026 21:46,Permit Pickup Complete
,Vineyard West - Lot 133,1165556,CA,NHO - F - Permitting,16033251,,3/19/2026 15:15,Jared Nast,4/21/2026,Jared Nast,,,,Madera City,Pacific Gas & Electric Co. (PG&E),,3/19/2026 14:19,4/21/2026 21:44,Permit Pickup Complete
,Vineyard West - Lot 31,1272300,CA,NHO - F - Permitting,15992453,,2/26/2026 22:49,Jared Nast,4/21/2026,Jared Nast,,,,Madera City,Pacific Gas & Electric Co. (PG&E),,1/15/2026 23:12,4/21/2026 21:45,Permit Pickup Complete
,Bloom at Florita (Magnolia - SFD) - Lot 04,1463543,CA,NHO - F - Permitting,16043728,,4/16/2026 23:01,Melvin Garcia,4/16/2026,Melvin Garcia,,,,Riverside County,Southern California Edison (SCE),,4/16/2026 21:31,4/16/2026 23:03,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 15 - Unit 66,1463871,CA,NHO - F - Permitting,16042422,,4/16/2026 18:00,Melvin Garcia,4/16/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/13/2026 22:56,4/16/2026 20:06,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 15 - Unit 67,1463872,CA,NHO - F - Permitting,16042434,,4/16/2026 17:19,Melvin Garcia,4/16/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/13/2026 23:07,4/16/2026 20:06,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 15 - Unit 69,1463874,CA,NHO - F - Permitting,16042482,,4/16/2026 16:58,Melvin Garcia,4/16/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/14/2026 14:55,4/16/2026 20:06,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 15 - Unit 70,1463875,CA,NHO - F - Permitting,16042486,,4/16/2026 17:12,Melvin Garcia,4/16/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/14/2026 14:56,4/16/2026 20:06,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 16 - Unit 71,1463876,CA,NHO - F - Permitting,16042400,,4/16/2026 17:54,Melvin Garcia,4/16/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/13/2026 22:49,4/16/2026 20:06,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 16 - Unit 72,1463877,CA,NHO - F - Permitting,16042404,,4/16/2026 17:25,Melvin Garcia,4/16/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/13/2026 22:49,4/16/2026 20:06,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 16 - Unit 73,1463878,CA,NHO - F - Permitting,16042408,,4/16/2026 17:48,Melvin Garcia,4/16/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/13/2026 22:50,4/16/2026 20:06,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 16 - Unit 74,1463879,CA,NHO - F - Permitting,16042730,,4/16/2026 18:07,Melvin Garcia,4/16/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/14/2026 19:41,4/16/2026 20:06,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 16 - Unit 75,1463880,CA,NHO - F - Permitting,16042739,,4/16/2026 18:15,Melvin Garcia,4/16/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/14/2026 19:48,4/16/2026 20:06,Permit Pickup Complete
,Oak Shade at Shadow Mountain (PA-B) - Tract 29835-4 - Lot 07 - Battery at Conver,1181052,CA,NHO - F - Permitting,16035813,,3/27/2026 16:37,Melvin Garcia,4/15/2026,Melvin Garcia,,,,Menifee City,Southern California Edison (SCE),,3/26/2026 22:21,4/15/2026 19:31,Permit Pickup Complete
,Bloom at Florita (Magnolia - SFD) - Lot 01,1463540,CA,NHO - F - Permitting,16042597,,4/14/2026 17:58,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Riverside County,Southern California Edison (SCE),,4/14/2026 17:05,4/14/2026 17:59,Permit Pickup Complete
,Bloom at Florita (Magnolia - SFD) - Lot 02,1463541,CA,NHO - F - Permitting,16042598,,4/14/2026 17:51,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Riverside County,Southern California Edison (SCE),,4/14/2026 17:05,4/14/2026 17:55,Permit Pickup Complete
,Bloom at Florita (Magnolia - SFD) - Lot 03,1463542,CA,NHO - F - Permitting,16042599,,4/14/2026 18:00,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Riverside County,Southern California Edison (SCE),,4/14/2026 17:06,4/14/2026 18:03,Permit Pickup Complete
,Linwood at Atwell (PA9A) Tract 37389-6 - Lot 36,1463666,CA,NHO - F - Permitting,16030125,,3/12/2026 17:46,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Banning City,City of Banning Utilities,,3/10/2026 21:52,4/14/2026 16:44,Permit Pickup Complete
,Linwood at Atwell (PA9A) Tract 37389-6 - Lot 37,1463667,CA,NHO - F - Permitting,16030086,,3/12/2026 17:38,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Banning City,City of Banning Utilities,,3/10/2026 21:34,4/14/2026 16:43,Permit Pickup Complete
,Linwood at Atwell (PA9A) Tract 37389-6 - Lot 30,1463668,CA,NHO - F - Permitting,16030148,,3/12/2026 16:51,Jared Nast,4/14/2026,Melvin Garcia,,,,Banning City,City of Banning Utilities,,3/10/2026 22:02,4/14/2026 16:41,Permit Pickup Complete
,Linwood at Atwell (PA9A) Tract 37389-6 - Lot 31,1463669,CA,NHO - F - Permitting,16030095,,3/12/2026 17:53,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Banning City,City of Banning Utilities,,3/10/2026 21:36,4/14/2026 16:45,Permit Pickup Complete
,Linwood at Atwell (PA9A) Tract 37389-6 - Lot 34,1463670,CA,NHO - F - Permitting,16030258,,3/12/2026 18:23,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Banning City,City of Banning Utilities,,3/11/2026 14:50,4/14/2026 16:49,Permit Pickup Complete
,Linwood at Atwell (PA9A) Tract 37389-6 - Lot 35,1463671,CA,NHO - F - Permitting,16030091,,3/12/2026 18:08,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Banning City,City of Banning Utilities,,3/10/2026 21:35,4/14/2026 16:48,Permit Pickup Complete
,Linwood at Atwell (PA9A) Tract 37389-6 - Lot 32,1463672,CA,NHO - F - Permitting,16030129,,3/12/2026 18:16,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Banning City,City of Banning Utilities,,3/10/2026 21:53,4/14/2026 16:46,Permit Pickup Complete
,Linwood at Atwell (PA9A) Tract 37389-6 - Lot 33,1463673,CA,NHO - F - Permitting,16030178,,3/12/2026 18:28,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Banning City,City of Banning Utilities,,3/10/2026 22:38,4/14/2026 16:47,Permit Pickup Complete
,Aspire at Davis (AKA Davis Ranch) - Tract 6426-3 - Lot 49,1463756,CA,NHO - F - Permitting,16042772,,4/15/2026 2:06,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,4/14/2026 20:17,4/15/2026 2:08,Permit Pickup Complete
,Aspire at Davis (AKA Davis Ranch) - Tract 6426-3 - Lot 48,1463757,CA,NHO - F - Permitting,16042776,,4/15/2026 2:06,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,4/14/2026 20:17,4/15/2026 2:08,Permit Pickup Complete
,Aspire at Davis (AKA Davis Ranch) - Tract 6426-3 - Lot 47,1463759,CA,NHO - F - Permitting,16042418,,4/13/2026 23:18,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,4/13/2026 22:55,4/14/2026 16:01,Permit Pickup Complete
,Aspire at Davis (AKA Davis Ranch) - Tract 6426-3 - Lot 46,1463760,CA,NHO - F - Permitting,16042413,,4/13/2026 23:17,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,4/13/2026 22:55,4/14/2026 16:01,Permit Pickup Complete
,Aspire at Davis (AKA Davis Ranch) - Tract 6426-3 - Lot 45,1463761,CA,NHO - F - Permitting,16042227,,4/13/2026 21:20,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,4/13/2026 19:12,4/14/2026 15:58,Permit Pickup Complete
,Aspire at Davis (AKA Davis Ranch) - Tract 6426-3 - Lot 44,1463762,CA,NHO - F - Permitting,16042223,,4/13/2026 21:20,Melvin Garcia,4/14/2026,Melvin Garcia,,,,Bakersfield City,Pacific Gas & Electric Co. (PG&E),,4/13/2026 19:11,4/14/2026 16:00,Permit Pickup Complete
,Great Park- Irvine (Andara) - Bldg. 15 - Unit 68,1463873,CA,NHO - F - Permitting,16042438,,4/14/2026 0:04,Melvin Garcia,4/13/2026,Melvin Garcia,,,,City of Irvine CA,Southern California Edison (SCE),,4/13/2026 23:07,4/16/2026 20:06,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 1 - Unit 1,1457977,CA,NHO - F - Permitting,16039873,,4/7/2026 17:27,Melvin Garcia,4/10/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/6/2026 23:10,4/10/2026 18:10,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 1 - Unit 2,1457978,CA,NHO - F - Permitting,16039875,,4/7/2026 17:30,Melvin Garcia,4/10/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/6/2026 23:10,4/10/2026 18:10,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 1 - Unit 3,1457979,CA,NHO - F - Permitting,16039877,,4/7/2026 17:32,Melvin Garcia,4/10/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/6/2026 23:10,4/10/2026 18:10,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 1 - Unit 4,1457980,CA,NHO - F - Permitting,16039879,,4/7/2026 17:34,Melvin Garcia,4/10/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/6/2026 23:10,4/10/2026 18:11,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 1 - Unit 5,1457981,CA,NHO - F - Permitting,16039881,,4/7/2026 17:36,Melvin Garcia,4/10/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/6/2026 23:10,4/10/2026 18:11,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 1 - Unit 6,1457982,CA,NHO - F - Permitting,16040341,,4/7/2026 23:26,Melvin Garcia,4/10/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/7/2026 21:29,4/10/2026 18:11,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 1 - Unit 7,1457983,CA,NHO - F - Permitting,16040339,,4/7/2026 23:26,Melvin Garcia,4/10/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/7/2026 21:29,4/10/2026 18:11,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 1 - Unit 8,1457984,CA,NHO - F - Permitting,16040337,,4/7/2026 23:25,Melvin Garcia,4/10/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/7/2026 21:29,4/10/2026 18:11,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 1 - Unit 9,1457985,CA,NHO - F - Permitting,16040335,,4/7/2026 23:25,Melvin Garcia,4/10/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/7/2026 21:29,4/10/2026 18:11,Permit Pickup Complete
,Uptown Walk-Whittier 2 - Bldg. 1 - Unit 10,1457986,CA,NHO - F - Permitting,16040333,,4/7/2026 23:25,Melvin Garcia,4/10/2026,Melvin Garcia,,,,City of Whittier CA,Southern California Edison (SCE),,4/7/2026 21:29,4/10/2026 18:11,Permit Pickup Complete
,Bloom at Edenglen - Bldg. 11 - Lot 67,1463708,CA,NHO - F - Permitting,16036984,,3/31/2026 22:02,Melvin Garcia,4/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,3/31/2026 16:02,4/10/2026 19:04,Permit Pickup Complete
,Bloom at Edenglen - Bldg. 11 - Lot 66,1463709,CA,NHO - F - Permitting,16036980,,3/31/2026 22:02,Melvin Garcia,4/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,3/31/2026 16:02,4/10/2026 19:17,Permit Pickup Complete
,Bloom at Edenglen - Bldg. 11 - Lot 65,1463710,CA,NHO - F - Permitting,16036976,,3/31/2026 22:03,Melvin Garcia,4/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,3/31/2026 16:02,4/10/2026 19:16,Permit Pickup Complete
,Bloom at Edenglen - Bldg. 11 - Lot 64,1463711,CA,NHO - F - Permitting,16036972,,3/31/2026 22:02,Melvin Garcia,4/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,3/31/2026 16:01,4/10/2026 19:15,Permit Pickup Complete
,Bloom at Edenglen - Bldg. 11 - Lot 63,1463712,CA,NHO - F - Permitting,16036804,,3/31/2026 22:01,Melvin Garcia,4/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,3/30/2026 21:22,4/10/2026 19:14,Permit Pickup Complete
,Bloom at Edenglen - Bldg. 11 - Lot 62,1463713,CA,NHO - F - Permitting,16036803,,3/31/2026 22:01,Melvin Garcia,4/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,3/30/2026 21:22,4/10/2026 19:09,Permit Pickup Complete
,Bloom at Edenglen - Bldg. 12 - Lot 73,1463714,CA,NHO - F - Permitting,16036805,,3/31/2026 22:02,Melvin Garcia,4/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,3/30/2026 21:23,4/10/2026 19:26,Permit Pickup Complete
,Bloom at Edenglen - Bldg. 12 - Lot 72,1463715,CA,NHO - F - Permitting,16036807,,3/31/2026 22:01,Melvin Garcia,4/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,3/30/2026 21:23,4/10/2026 19:25,Permit Pickup Complete
,Bloom at Edenglen - Bldg. 12 - Lot 71,1463716,CA,NHO - F - Permitting,16036806,,3/31/2026 22:02,Melvin Garcia,4/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,3/30/2026 21:23,4/10/2026 19:23,Permit Pickup Complete
,Bloom at Edenglen - Bldg. 12 - Lot  70,1463717,CA,NHO - F - Permitting,16036808,,3/31/2026 22:01,Melvin Garcia,4/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,3/30/2026 21:24,4/10/2026 19:22,Permit Pickup Complete
,Bloom at Edenglen - Bldg. 12 - Lot 69,1463718,CA,NHO - F - Permitting,16036809,,3/31/2026 22:02,Melvin Garcia,4/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,3/30/2026 21:24,4/10/2026 19:21,Permit Pickup Complete
Builder,Bloom at Edenglen - Bldg. 12 - Lot 68,1463719,CA,NHO - F - Permitting,16036810,MPPP w/iPlot,3/31/2026 22:01,Melvin Garcia,4/10/2026,Melvin Garcia,,,,Ontario City,Southern California Edison (SCE),,3/30/2026 21:24,4/10/2026 19:19,Permit Pickup Complete
,Vistas at Mockingbird Canyon (Mockingbird Heights) - Tract 22100-3 - Lot  3012-MDL,1132136,CA,NHO - F - Permitting,16038136,,4/2/2026 19:18,Jared Nast,4/8/2026,Jared Nast,,,,Riverside County,Southern California Edison (SCE),,4/1/2026 22:34,4/8/2026 22:50,Permit Pickup Complete
,Sky at Altair (P1) - Bldg. 8 - Unit 100004,1463105,CA,NHO - F - Permitting,15971944,,3/30/2026 19:55,Melvin Garcia,4/8/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/22/2025 6:48,4/9/2026 18:31,Permit Pickup Complete
,Sky at Altair (P1) - Bldg. 8 - Unit 100003,1463106,CA,NHO - F - Permitting,15971948,,3/30/2026 19:55,Melvin Garcia,4/8/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/22/2025 6:48,4/9/2026 18:30,Permit Pickup Complete
,Sky at Altair (P1) - Bldg. 9 - Unit 100002,1463107,CA,NHO - F - Permitting,15971888,,3/30/2026 19:55,Melvin Garcia,4/8/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/22/2025 3:59,4/9/2026 18:32,Permit Pickup Complete
,Sky at Altair (P1) - Bldg. 9 - Unit 100001,1463108,CA,NHO - F - Permitting,15971856,,3/30/2026 19:54,Melvin Garcia,4/8/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/22/2025 1:54,4/9/2026 18:31,Permit Pickup Complete
,Waypoint at Altair (P2) - Lot 100074,1463109,CA,NHO - F - Permitting,15973195,,3/30/2026 20:18,Melvin Garcia,4/8/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/22/2025 22:59,4/9/2026 18:35,Permit Pickup Complete
,Waypoint at Altair (P2) - Lot 100073,1463110,CA,NHO - F - Permitting,15973190,,3/30/2026 20:18,Melvin Garcia,4/8/2026,Melvin Garcia,,,,City of Temecula CA,San Diego Gas & Electric (SDG&E),,12/22/2025 22:59,4/9/2026 18:37,Permit Pickup Complete
